priority,action_lane,owner,owner_status,risk_level,autonomy_mode,artifact_type,path,next_action
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_environment_baseline_sync.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_gateway_relay_guardrail_cycle.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_governance_bootstrap_checks.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_grouped_metrics_live_pack.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_live_entry_exit_basket_probe.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_market_open_live_certification.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_mf_portfolio_ingestion_batch.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_model_inference_fail_closed_cutover.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_order_projection_resiliency_drill.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_payoff_context_live_pack.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_portfolio_context_live_pack.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_promotion_preflight.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_signal_indicator_matrix_live_pack.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_strategy_context_live_pack.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/run_support_delegation_cutover.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/validate_config_service_control_plane_contract.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/validate_kubernetes_service_classification.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/validate_no_redundant_code.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/validate_performance_regression.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/validate_strict_sdk_provider_contracts.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/validate_support_resistance_contract.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-governance (governance automation),present,critical,blocked,script,scripts/governance/validate_trading_trust_release_gate.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,platform-operations (backup and recovery),present,critical,blocked,script,scripts/backup/backup-service.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,workflow,.github/workflows/deploy-backend-production.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,workflow,.github/workflows/deploy-production.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,workflow,.github/workflows/integration-tests.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,workflow,.github/workflows/port-consistency-check.yml,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/bootstrap-dev-owner-service-prereqs.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/bootstrap_broker_rate_limit_profiles.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/deploy-staging.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/fix_timezone_data.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/lock-production.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/production_checklist.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/run_phase2_tests.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/setup-deployment-env.sh,block or require controlled owner review before use
P0,Block or certify critical operational mutation,present,present,critical,blocked,script,scripts/test_acl_database.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,qa-governance (quality evidence),present,critical,blocked,script,scripts/qa/reconcile_gateway_routes.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,qa-governance (quality evidence),present,critical,blocked,script,scripts/qa/run_blocker_closure_cycle.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,qa-governance (quality evidence),present,critical,blocked,script,scripts/qa/run_guardrail_suite.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,qa-governance (quality evidence),present,critical,blocked,script,scripts/qa/run_python_sdk_negative_path_certification.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,qa-governance (quality evidence),present,critical,blocked,script,scripts/qa/run_reference_strategy_sdk_suite.py,block or require controlled owner review before use
P0,Block or certify critical operational mutation,security-governance (security operations),present,critical,blocked,script,scripts/security/rotate_token_manager_encryption.py,block or require controlled owner review before use
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,workflow,.github/workflows/deploy-dev.yml,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,workflow,.github/workflows/deploy-frontend-staging.yml,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,workflow,.github/workflows/environment-code-parity.yml,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,workflow,.github/workflows/phase1-tests.yml,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/apply_config_service_alias_policy.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/apply_marketplace_migrations.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/autonomous-debug.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/backfill_7days_complete.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/backfill_7days_optimized.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/backfill_enhanced_greeks.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/backfill_from_last_till_now.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/backfill_today.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/backfill_today_kite.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/bootstrap-dev-auth-prereqs.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,controlled_execute,script,scripts/bootstrap_env_files.sh,assign owner boundary
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/broker_account_sync.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/broker_account_sync_v2.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/broker_account_sync_v3.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/cache_warmup.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/classify_market_cap.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/daily_aggregation.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/database_fixes/find_and_update_code.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/decrypt_mf_xls.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/decrypt_secrets.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/deep_code_analyzer.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/deploy-frontend.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/dev_validation/seed_positions_sidecar_positive_fixture.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/enforce_config_hot_reload_guardrail.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/enforce_no_env_no_hardcoded_ports.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/fetch_index_data.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/final_health_check.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/go_live_verify.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/governance_checks.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/grant-claude-permissions.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/infra_replay_preflight.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/ingest_mf_disclosure_file.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/ingest_mf_portfolio_statement_encrypted.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/ingest_mf_portfolio_statement_file.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/install_hooks.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/load_test.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/map_service_dependencies.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/marketplace_latency_probe.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/midnight_refresh.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/monitor_database_health.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/monitoring/ha-smoke-tests.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/nonprod_reference_sync.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/orchestrate_codex_claude.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/phase3_contract_checks.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/postgres-replica-init.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/pre-commit-check.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/reconcile_mf_soa_vs_broker_holdings.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/register_user_service_mfa_key.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/retired/compare_v1_v2.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/retired/deploy_v2.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/retired/rollback_to_v1.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/run-phase1-tests.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/run_auth_orchestration.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/run_credential_readiness_gate.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/run_live_probe.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/run_maturation_guardrail_cycle.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/secrets_backup.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/secrets_restore.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/seed_environment_baseline.py,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/service_health_summary.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/setup_daily_aggregation.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/staging/bootstrap_user_service_identity.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/start-config-service-for-testing.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/start-trading-services.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/stocksblitz_docker_conformance.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/stocksblitz_memory_guard.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/stocksblitz_memory_report.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/stocksblitz_report_retention.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/stop-config-service-testing.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/store_manual_token.sh,map to canonical automation or document exception
P2,Assign accountable owner boundary,missing_or_unknown,missing_or_unknown,high,prepare,script,scripts/sync-config-parameters.sh,map to canonical automation or document exception
